,??,,
Average of threatlevel,Column Labels,,
Row Labels,0,1,Grand Total
???,2.865,5.957,4.316
????,3.985,6.298,5.057
Grand Total,3.492,6.146,4.729
???,,,
,,,
,,,
,Column Labels,,
,0,1,Grand Total
Average of funclevel,5.729,3.699,4.783
